site,group,space,trial,objective,test_mse_median,hash,learning_rate,hidden_dim,num_layers,out_channels,dropout,use_mixup,use_mixup_phys,use_mixup_temporal,use_jitter,sigma_mixup,sigma_phys,sigma_temporal,sigma_jitter,augmentation_factor
213,a_llm_aug,small,1,0.06329062581062317,0.09656800329685211,503f43735c64e0e5,0.01,96,2,64,0.2,True,False,False,False,0.2,0.2,0.2,0.2,2.0
213,a_llm_aug,small,2,0.062126293778419495,0.09131404757499695,5f4eb5ad6385ce94,0.005,128,2,96,0.3,False,True,True,False,0.3,0.3,0.3,0.3,2.5
213,a_llm_aug,small,3,0.05135805904865265,0.07769572734832764,5bb874f66d6762fd,0.002,192,3,128,0.4,True,True,True,True,0.2,0.2,0.2,0.05,3.0
213,a_llm_aug,small,4,0.0534992590546608,0.07896285504102707,7b2f108bacbf92e9,0.001,256,3,256,0.5,True,True,True,True,0.3,0.3,0.3,0.1,3.0
213,a_llm_aug,small,5,0.06145361065864563,0.09006978571414948,4dc93e22e82d5e09,0.003,160,2,112,0.35,False,True,True,True,0.2,0.3,0.3,0.03,2.5
213,a_llm_aug,small,6,0.049422796815633774,0.07754269242286682,b0e5f4cfc3e66b21,0.002,224,3,160,0.4,True,True,True,True,0.3,0.2,0.2,0.04,3.0
213,a_llm_aug,small,7,0.047220077365636826,0.0776987224817276,3995e5212f9fb15a,0.0025,240,3,192,0.4,True,True,True,True,0.4,0.3,0.3,0.02,3.0
213,a_llm_aug,small,8,0.0498734712600708,0.07715350389480591,43ba20946905b17d,0.002,256,3,224,0.35,True,True,True,True,0.45,0.3,0.3,0.01,3.0
213,a_llm_aug,small,9,0.05178026109933853,0.08412742614746094,a8aa006b7f5fa772,0.0025,240,3,224,0.4,True,True,True,True,0.5,0.3,0.3,0.01,3.0
213,a_llm_aug,small,10,0.05122867599129677,0.07808563858270645,d981503972587c60,0.003,208,3,176,0.35,True,True,True,True,0.35,0.25,0.25,0.03,3.0
