site,config,seed,norm_MSE,norm_MAE,best_epoch
UG3,Shared,2026,0.14499366,0.2660902,10
UG3,Shared,11,0.14076857,0.26534185,10
UG3,Shared,22,0.15321966,0.2808652,10
UG3,Shared,33,0.12626109,0.23548834,24
UG3,Shared,44,0.1351607,0.2534204,15
UG3,Shared,55,0.13036993,0.23964787,20
UG3,Kernel,42,0.14212272,0.25747624,10
UG3,Kernel,123,0.13205318,0.24649648,10
UG3,Kernel,456,0.14548394,0.26610276,6
UG3,Kernel,789,0.13526589,0.24553257,12
UG3,Kernel,2026,0.14419794,0.26764825,6
UG3,Kernel,11,0.1354145,0.24569361,9
UG3,Kernel,22,0.13527125,0.24863979,12
UG3,Kernel,33,0.13392645,0.25786066,7
UG3,Kernel,44,0.13193236,0.24503748,18
UG3,Kernel,55,0.15073489,0.27179423,7
UG3,Frozen,42,0.14033462,0.26022986,13
UG3,Frozen,123,0.1295357,0.24231066,23
UG3,Frozen,456,0.14167862,0.2570251,12
UG3,Frozen,789,0.14798848,0.2622705,15
UG3,Frozen,2026,0.14152913,0.26869977,11
UG3,Frozen,11,0.14327157,0.2597176,18
UG3,Frozen,22,0.14027128,0.26546523,13
UG3,Frozen,33,0.14562379,0.27254096,9
UG3,Frozen,44,0.1506596,0.27280584,15
UG3,Frozen,55,0.14242972,0.26399583,11
UG3,LinearCalib,42,0.16111737,0.28930122,11
UG3,LinearCalib,123,0.14922161,0.27614677,11
UG3,LinearCalib,456,0.13874494,0.25724033,17
UG3,LinearCalib,789,0.14388254,0.26173052,15
UG3,LinearCalib,2026,0.13474599,0.2499897,18
UG3,LinearCalib,11,0.14209184,0.26394454,12
UG3,LinearCalib,22,0.15724188,0.28824514,11
UG3,LinearCalib,33,0.14990357,0.27740163,10
UG3,LinearCalib,44,0.1539921,0.28045443,13
UG3,LinearCalib,55,0.13826533,0.2523559,26
UG3,MLPConv,42,0.14506884,0.2728332,11
UG3,MLPConv,123,0.13947068,0.25856516,10
UG3,MLPConv,456,0.13435991,0.25349918,13
UG3,MLPConv,789,0.1331254,0.25035742,11
UG3,MLPConv,2026,0.15077285,0.27560824,10
UG3,MLPConv,11,0.14469077,0.27021596,10
UG3,MLPConv,22,0.13353728,0.24342217,28
UG3,MLPConv,33,0.13678491,0.25712004,12
UG3,MLPConv,44,0.14495987,0.2730268,11
UG3,MLPConv,55,0.13793138,0.2606555,10
SQ2,FC,42,0.08958412,0.2083523,14
SQ2,FC,123,0.08546739,0.19382882,15
SQ2,FC,456,0.0915957,0.2060516,16
SQ2,FC,789,0.09403477,0.21447746,15
SQ2,FC,2026,0.09377296,0.20695457,20
SQ2,FC,11,0.091380134,0.2150307,14
SQ2,FC,22,0.09557818,0.20465049,13
SQ2,FC,33,0.10155377,0.21499918,10
SQ2,FC,44,0.092282295,0.20598982,11
SQ2,FC,55,0.09739231,0.21813512,7
SQ2,KANConv_base,42,0.08881722,0.21244498,20
SQ2,KANConv_base,123,0.08936476,0.19671065,20
SQ2,KANConv_base,456,0.0973225,0.20457928,15
SQ2,KANConv_base,789,0.08713287,0.19836436,28
SQ2,KANConv_base,2026,0.0903402,0.20180646,16
SQ2,KANConv_base,11,0.084565625,0.19234505,19
SQ2,KANConv_base,22,0.08706563,0.21066137,7
SQ2,KANConv_base,33,0.08884843,0.20606886,10
SQ2,KANConv_base,44,0.09364543,0.20194465,32
SQ2,KANConv_base,55,0.08636888,0.19983216,20
SQ2,KANConv_M5,42,0.087904565,0.20933066,20
SQ2,KANConv_M5,123,0.085936144,0.19385888,33
SQ2,KANConv_M5,456,0.09669386,0.20431577,15
SQ2,KANConv_M5,789,0.08698504,0.1991655,28
SQ2,KANConv_M5,2026,0.09424453,0.2013556,20
SQ2,KANConv_M5,11,0.08396755,0.1915085,19
SQ2,KANConv_M5,22,0.08652332,0.21000777,7
SQ2,KANConv_M5,33,0.08910232,0.2059071,10
SQ2,KANConv_M5,44,0.093767114,0.2007863,36
SQ2,KANConv_M5,55,0.08991956,0.20381254,14
SQ2,Shared,42,0.08589848,0.20140989,12
SQ2,Shared,123,0.09694316,0.20478123,18
SQ2,Shared,456,0.09205997,0.2155156,14
SQ2,Shared,789,0.10184113,0.22677605,10
SQ2,Shared,2026,0.09042291,0.2045164,20
SQ2,Shared,11,0.0917074,0.21664912,9
SQ2,Shared,22,0.08634399,0.20573944,11
SQ2,Shared,33,0.103586726,0.23854119,8
SQ2,Shared,44,0.08674013,0.19532618,19
SQ2,Shared,55,0.088729076,0.20491365,20
SQ2,Kernel,42,0.10559964,0.22471924,5
SQ2,Kernel,123,0.09140581,0.19873466,12
SQ2,Kernel,456,0.1011435,0.21026812,7
SQ2,Kernel,789,0.098168954,0.20399812,12
SQ2,Kernel,2026,0.11204869,0.25045797,4
SQ2,Kernel,11,0.08905246,0.19578527,15
SQ2,Kernel,22,0.103181206,0.21645765,6
SQ2,Kernel,33,0.10467236,0.24070051,4
SQ2,Kernel,44,0.10334674,0.2201728,7
SQ2,Kernel,55,0.09586633,0.21124706,5
SQ2,Frozen,42,0.090208896,0.20461279,14
SQ2,Frozen,123,0.09220615,0.20445532,14
SQ2,Frozen,456,0.091944456,0.20619422,10
SQ2,Frozen,789,0.08248504,0.1989038,15
SQ2,Frozen,2026,0.097064346,0.21402304,10
SQ2,Frozen,11,0.088926114,0.2014537,19
SQ2,Frozen,22,0.09153714,0.21635272,7
SQ2,Frozen,33,0.08777282,0.21248299,9
SQ2,Frozen,44,0.094831884,0.21117344,10
SQ2,Frozen,55,0.090867035,0.21090415,21
SQ2,LinearCalib,42,0.09037263,0.20859584,13
SQ2,LinearCalib,123,0.09100136,0.20137677,18
SQ2,LinearCalib,456,0.09787139,0.20929614,17
SQ2,LinearCalib,789,0.09279714,0.20550692,14
SQ2,LinearCalib,2026,0.09511611,0.2097278,20
SQ2,LinearCalib,11,0.08758566,0.21619625,14
SQ2,LinearCalib,22,0.09512056,0.20842376,14
SQ2,LinearCalib,33,0.09034099,0.20667404,19
SQ2,LinearCalib,44,0.094114736,0.21812421,11
SQ2,LinearCalib,55,0.09063089,0.20450212,17
SQ2,MLPConv,42,0.09895873,0.20563887,20
SQ2,MLPConv,123,0.09380189,0.20254464,18
SQ2,MLPConv,456,0.09736854,0.2226918,8
SQ2,MLPConv,789,0.08807925,0.2045853,15
SQ2,MLPConv,2026,0.09835622,0.2211851,7
SQ2,MLPConv,11,0.089858904,0.20600048,9
SQ2,MLPConv,22,0.09448485,0.20176157,34
SQ2,MLPConv,33,0.09032644,0.21248262,8
SQ2,MLPConv,44,0.10027644,0.23595773,6
SQ2,MLPConv,55,0.09088966,0.2003636,15
Zone_D,FC,42,0.11689331,0.23442885,31
Zone_D,FC,123,0.103858285,0.22008312,19
Zone_D,FC,456,0.105918184,0.21842737,20
Zone_D,FC,789,0.10054088,0.21085872,46
Zone_D,FC,2026,0.106272176,0.22183345,33
Zone_D,FC,11,0.10401262,0.21254806,31
Zone_D,FC,22,0.1038314,0.22471288,36
Zone_D,FC,33,0.10292624,0.21600716,47
Zone_D,FC,44,0.11525943,0.22114806,37
Zone_D,FC,55,0.10622049,0.21495327,34
Zone_D,KANConv_base,42,0.11332454,0.21835053,42
Zone_D,KANConv_base,123,0.10318473,0.20917545,35
Zone_D,KANConv_base,456,0.100338265,0.20671506,27
Zone_D,KANConv_base,789,0.0956806,0.20719275,36
Zone_D,KANConv_base,2026,0.10494086,0.21496856,23
Zone_D,KANConv_base,11,0.10251519,0.21158196,44
Zone_D,KANConv_base,22,0.0999097,0.20826736,30
Zone_D,KANConv_base,33,0.104726136,0.2087696,62
Zone_D,KANConv_base,44,0.10740508,0.21672034,26
Zone_D,KANConv_base,55,0.105879664,0.22434254,18
Zone_D,KANConv_M5,42,0.11046826,0.22309007,24
Zone_D,KANConv_M5,123,0.103323705,0.21004878,35
Zone_D,KANConv_M5,456,0.10084009,0.21912652,21
Zone_D,KANConv_M5,789,0.09555606,0.20663449,36
Zone_D,KANConv_M5,2026,0.10478929,0.21576302,23
Zone_D,KANConv_M5,11,0.102543056,0.21256588,44
Zone_D,KANConv_M5,22,0.097551905,0.20627464,30
Zone_D,KANConv_M5,33,0.10487977,0.2089015,62
Zone_D,KANConv_M5,44,0.108096,0.21673064,49
Zone_D,KANConv_M5,55,0.10438663,0.21529396,19
Zone_D,Shared,42,0.11164676,0.2260887,27
Zone_D,Shared,123,0.101471595,0.20545301,35
Zone_D,Shared,456,0.10861835,0.21657044,40
Zone_D,Shared,789,0.109699465,0.22940731,23
Zone_D,Shared,2026,0.10321075,0.2138973,23
Zone_D,Shared,11,0.09562903,0.21336181,32
Zone_D,Shared,22,0.11388738,0.21444741,35
Zone_D,Shared,33,0.11377102,0.21464539,57
Zone_D,Shared,44,0.10339748,0.20630708,43
Zone_D,Shared,55,0.10340429,0.20891325,37
Zone_D,Kernel,42,0.12086963,0.22724023,16
Zone_D,Kernel,123,0.12518284,0.22310533,35
Zone_D,Kernel,456,0.11566796,0.21191894,27
Zone_D,Kernel,789,0.13262491,0.2317359,47
Zone_D,Kernel,2026,0.12217003,0.22304824,35
Zone_D,Kernel,11,0.1181982,0.21949084,20
Zone_D,Kernel,22,0.120533995,0.21632034,31
Zone_D,Kernel,33,0.12513547,0.21787408,28
Zone_D,Kernel,44,0.123382054,0.23442172,24
Zone_D,Kernel,55,0.11278018,0.21558845,18
Zone_D,Frozen,42,0.11111375,0.23253891,23
Zone_D,Frozen,123,0.104409546,0.22877419,38
Zone_D,Frozen,456,0.09984575,0.20963386,21
Zone_D,Frozen,789,0.097975835,0.20799859,36
Zone_D,Frozen,2026,0.10435557,0.21997671,18
Zone_D,Frozen,11,0.10294771,0.21081072,46
Zone_D,Frozen,22,0.103439994,0.20883392,50
Zone_D,Frozen,33,0.09766298,0.20875706,29
Zone_D,Frozen,44,0.11970372,0.24511038,26
Zone_D,Frozen,55,0.11800931,0.23661914,18
Zone_D,LinearCalib,42,0.11025727,0.21529517,56
Zone_D,LinearCalib,123,0.106933214,0.20911492,41
Zone_D,LinearCalib,456,0.11134212,0.22588877,27
Zone_D,LinearCalib,789,0.116914846,0.23145941,35
Zone_D,LinearCalib,2026,0.12608759,0.2276002,45
Zone_D,LinearCalib,11,0.10508048,0.21168855,26
Zone_D,LinearCalib,22,0.11304684,0.21998109,21
Zone_D,LinearCalib,33,0.101433456,0.20684925,36
Zone_D,LinearCalib,44,0.09821171,0.20415616,42
Zone_D,LinearCalib,55,0.11172083,0.23156458,20
Zone_D,MLPConv,42,0.12136123,0.23813133,26
Zone_D,MLPConv,123,0.10306693,0.20179111,37
Zone_D,MLPConv,456,0.10346888,0.21616413,22
Zone_D,MLPConv,789,0.104976736,0.21909124,36
Zone_D,MLPConv,2026,0.11445544,0.22098076,26
Zone_D,MLPConv,11,0.102801286,0.20684962,23
Zone_D,MLPConv,22,0.11064984,0.21577321,27
Zone_D,MLPConv,33,0.1040988,0.21101314,32
Zone_D,MLPConv,44,0.113916464,0.21514027,43
Zone_D,MLPConv,55,0.11108045,0.22791289,18
