site,group,space,trial,objective,test_mse_median,hash,learning_rate,hidden_dim,num_layers,out_channels,dropout,use_mixup,use_mixup_phys,use_mixup_temporal,use_jitter,sigma_mixup,sigma_phys,sigma_temporal,sigma_jitter,augmentation_factor
212,d_tpe_noaug,small,1,0.3191014230251312,0.3277733623981476,af23adf107042618,3.472465633879338e-05,224,3,240,0.7281224606241253,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,2,0.05927881971001625,0.07986237108707428,2d78c7d23c195e5e,0.0029387364734004265,192,1,96,0.5761173182833783,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,3,0.0697903111577034,0.1015106737613678,9e5d3fb9ad551ef3,0.01849311025911114,128,2,208,0.4418113176091229,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,4,0.17221401631832123,0.17665383219718933,e4e86d0bb5c9cd4f,0.09335763266145153,240,1,32,0.26548138786502246,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,5,0.1479141116142273,0.16430777311325073,95954f1be0be5d2b,0.00010184010157402182,144,2,96,0.16926480512501405,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,6,0.06396900117397308,0.08959344029426575,9f4e2bcce23bd753,0.0013421837571202162,192,1,256,0.5975591569186042,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,7,0.058192115277051926,0.0798191949725151,d7b93a0c9679d931,0.0012476778583567355,192,1,96,0.01218950963898513,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,8,0.5551082491874695,0.5636839866638184,83904ba1901c526f,0.4446460984981277,160,3,128,0.014763335627998302,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,9,0.07155947387218475,0.09134068340063095,dadab7711fe17a26,0.00042654919665994763,112,1,48,0.04144030831940215,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,10,0.06890731304883957,0.09698379784822464,40a68855edd8aa86,0.008888074855518525,32,1,176,0.3344111343105874,False,False,False,False,0.01,0.01,0.01,0.01,1.0
