model,seed,MSE,MAE,val_loss,best_epoch,time_s,n_params,MSE_std,MAE_std
FC,42,187572.08,317.45004,0.382677724308772,6,31.19582343101501,,0.6102108381717399,0.5725735045514784
KANConv_M5,42,150706.67,296.95688,0.2943859194355432,14,240.89305543899536,,0.4902800215190439,0.5356107105303021
FC,123,188962.390625,318.7096252441406,0.3764962204247243,6,30.28218150138855,,0.614733806684966,0.5748453742841737
FC,456,181518.015625,314.7265319824219,0.3976798698729145,5,26.366719484329224,,0.5905157124546587,0.5676612086503697
FC,789,156643.828125,304.235595703125,0.2967562696159074,15,42.832255125045776,,0.5095948269837719,0.5487390747880988
FC,2026,142305.03125,278.1018981933594,0.2948827194490643,15,42.656063079833984,,0.46294774998026433,0.5016026410675211
FC,11,189759.90625,316.19549560546875,0.358299033874969,6,27.904616117477417,,0.6173282902455595,0.5703107268224468
FC,22,141058.140625,275.7490539550781,0.312545580066717,11,36.20885848999024,,0.4588913564413659,0.497358898426391
FC,33,204260.84375,336.9860534667969,0.3319969837221813,15,42.70906972885132,,0.6645028442951334,0.6078099269367102
FC,44,163428.0625,300.91754150390625,0.3544626360059912,5,26.39706015586853,,0.5316653469903863,0.5427544167891947
FC,55,171357.453125,302.4710998535156,0.3329908037411301,7,30.01076579093933,,0.5574612975362905,0.5455565155029358
KANConv_M5,123,139342.28125,274.94464111328125,0.269437368735906,15,250.513254404068,,0.4533093103959012,0.49590800719344663
KANConv_M5,456,142032.546875,286.3724975585937,0.3187288882604532,7,173.5914285182953,,0.46206130185398964,0.5165200311024805
KANConv_M5,789,151263.8125,292.787109375,0.3434208296826961,14,241.2088434696197,,0.4920925215025494,0.5280898414829015
KANConv_M5,2026,124221.265625,261.3939208984375,0.2711131787074477,11,212.1778676509857,,0.4041175137354429,0.4714670483496246
KANConv_M5,11,139875.796875,284.5694580078125,0.3381596700250162,7,173.63600635528564,,0.45504494725992156,0.5132679518951957
KANConv_M5,22,141944.71875,289.5942077636719,0.3193943017288713,7,173.68033909797668,,0.4617755787667833,0.5223309168178228
KANConv_M5,33,146422.921875,288.9757080078125,0.3094040584112943,6,163.98594784736633,,0.47634410134439487,0.5212153504982324
KANConv_M5,44,153916.234375,293.8694763183594,0.2997862012228379,29,385.67406582832336,,0.5007213994012687,0.5300420687813134
KANConv_M5,55,131683.1875,270.454345703125,0.2599532017572445,37,462.5413517951965,,0.4283926915855568,0.487809018831484
Shared,42,160061.421875,299.5741577148437,0.3418851639570122,12,219.05074667930603,122086.0,0.5207129675232274,0.5403314025597393
Kernel,42,145124.375,281.6181030273437,0.3102576488200046,7,1204.531405210495,355126.0,0.47211965932189853,0.507944696417444
LinearCalib,42,213876.40625,337.611083984375,0.4037843286427037,4,26.91902017593384,122401.0,0.6957842612982276,0.6089372725621867
Shared,123,145617.59375,284.31951904296875,0.3122316202154671,8,181.9863717556,122086.0,0.4737242021026766,0.5128171457493702
Shared,456,139981.859375,281.8098449707031,0.3219996226322764,7,170.10941433906555,122086.0,0.4553899905468734,0.5082905346365189
Shared,789,155673.390625,292.8683166503906,0.3110208812196172,12,216.8660516738892,122086.0,0.5064377927371596,0.5282363121976807
Shared,2026,165128.21875,302.2591247558594,0.3582869044237708,6,160.51882696151733,122086.0,0.5371963075167899,0.5451741834530086
Shared,11,158487.984375,303.7873229980469,0.3438122263090091,6,160.4612832069397,122086.0,0.5155942493446699,0.5479305410303417
Shared,22,147726.484375,285.4336853027344,0.2864940721153837,17,265.14314341545105,122086.0,0.4805848602341734,0.5148267283596197
Shared,33,139271.21875,279.36083984375,0.3030150470673474,14,235.9568474292755,122086.0,0.45307812936038905,0.5038733499727397
Shared,44,149196.890625,290.9839172363281,0.3233659933042075,9,188.6832628250122,122086.0,0.4853683964100556,0.5248374870581894
Shared,55,127166.6640625,267.23504638671875,0.2716725400945741,17,264.25717282295227,122086.0,0.4136995050920276,0.4820024815514921
Kernel,123,148289.125,285.97564697265625,0.2947645268229656,8,1274.6347029209137,355126.0,0.4824152467574274,0.5158042456177047
Kernel,456,136855.71875,275.2572631835937,0.3190457600900427,7,1202.8093342781067,355126.0,0.44522000740746387,0.49647187265838383
Kernel,789,146354.140625,289.85467529296875,0.3066910542900254,6,1136.3600351810455,355126.0,0.4761203416877711,0.5228007129661282
Kernel,2026,160369.25,299.6615295410156,0.3138574820587688,5,1069.651743888855,355126.0,0.5217143961909113,0.5404889920585793
Kernel,11,152682.234375,290.7339172363281,0.3399480026603121,7,1203.6169033050537,355126.0,0.49670694173622637,0.524386570825393
Kernel,22,157586.0625,294.3558654785156,0.3522187341650953,6,1136.6527364253998,355126.0,0.5126601106215232,0.5309193518523961
Kernel,33,156298.984375,290.7828369140625,0.3396332119165535,5,1069.791799545288,355126.0,0.5084729788189182,0.5244748055325674
Kernel,44,171719.140625,303.52813720703125,0.3381907052422171,7,1205.3160660266876,355126.0,0.5586379419096494,0.5474630567084252
Kernel,55,158286.25,292.07061767578125,0.3171736579212104,9,1337.0871000289917,355126.0,0.5149379656266624,0.5267975305315351
LinearCalib,123,187440.734375,327.9853820800781,0.4326941414210322,3,25.361549139022827,122401.0,0.6097835436409044,0.5915757315993596
LinearCalib,456,177019.359375,314.6234436035156,0.4150126382755556,3,25.16673731803894,122401.0,0.5758806516238621,0.5674752717565238
LinearCalib,789,249829.9375,360.0074462890625,0.3629369165995144,11,39.574063539505005,122401.0,0.8127485474504968,0.6493328058372795
LinearCalib,2026,182651.65625,309.86212158203125,0.3781016264052045,7,32.22946310043335,122401.0,0.5942036802799704,0.5588874422002905
LinearCalib,11,184055.40625,306.3666381835937,0.3598945823377615,23,61.38710069656372,122401.0,0.5987703698644947,0.552582761376987
LinearCalib,22,157528.125,300.2846069335937,0.4035524060297463,3,25.22693347930908,122401.0,0.5124716279303008,0.5416128149009869
LinearCalib,33,185033.34375,310.8512268066406,0.3143747905827471,16,48.57857418060303,122401.0,0.6019518031649869,0.5606714566071709
LinearCalib,44,212888.453125,332.40704345703125,0.3975805704149914,7,32.215033292770386,122401.0,0.6925702450945334,0.599550927162548
LinearCalib,55,167869.859375,302.5526428222656,0.3061459510108273,14,44.737799644470215,122401.0,0.5461154324939558,0.545703591696055
