site,n_samples,nonlin_poly_gain,curvature,saturation_idx,r2_linear
56,14237,0.03403348767830263,2.5703556008241844,0.014747191011235955,0.8759874634330298
63,14203,0.027523093555202337,2.5215941103377744,0.009852216748768473,0.8896414391724644
64,7400,0.028303904408300228,3.6949532325982175,0.014864864864864866,0.8649945651560121
64_14,14787,0.02795958538149356,4.629994823649894,0.002704530087897228,0.8731014713240474
67,13664,0.02940452627481678,2.4244718407454324,0.02121433796634967,0.8695137247711497
73,14201,0.027619644578365844,2.6470231827521067,0.013380281690140845,0.8799728376163368
78,13099,0.09044969061027966,8.85530214816995,0.5938931297709924,0.25582719224511186
79,7380,0.030013329523200974,3.184567229191876,0.03523035230352303,0.8850824994912933
85,13643,0.028553956743978363,2.583468390224839,0.015384615384615385,0.8963315445278618
92,13666,0.02768652999129746,3.9933040479943505,0.04023408924652524,0.9066584455516816
212,7391,0.02629760703983906,3.7061585713388183,0.014884979702300407,0.8697616220625288
213,7240,0.025235164432185507,3.2872688003238655,0.013812154696132596,0.8768396270015214
yulara17,15299,0.031474597472639844,9.709294634142882,0.07581699346405228,0.8286758148671355
yulara21A,14479,0.01235662889007583,7.988699112502971,0.03798342541436464,0.8527715821490424
yulara21B,14465,0.02538758642199574,18.71773850172994,0.3953006219765031,0.6655732898918576
asf_cocoa,1207,0.0031770704515689772,14.465552263852539,0.24793388429752067,0.48659904680649624
asf_golden,1289,0.09333851515942915,27.310718527925054,0.4806201550387597,0.40689485998599395
HK_Indoor,6417,4.418687854127026e-05,2.7075371119983673,0.012461059190031152,0.9514652388656535
HK_LSKN,13461,0.00020329118005193663,2.964618563934953,0.017087667161961365,0.9300270287799209
HK_LSKS,13431,0.00018693349721604535,3.6679800250665315,0.016381236038719285,0.9330516855748153
HK_SHHo,6821,0.1610717085271632,7.048515257873585,0.20381231671554254,0.43461705861639877
HK_SQ1,13405,0.00177891352806118,6.1056501807992145,0.049217002237136466,0.8612480189406647
HK_SQ2,13120,0.0015931807054156073,6.970136937716862,0.04878048780487805,0.8633647668207771
HK_SQ3,12506,0.0010581485446219255,9.860566242924815,0.20863309352517986,0.680261034750194
HK_SQ4,13224,0.0005701767315306187,6.146067892516343,0.030990173847316706,0.8862388416666978
HK_SQ567,11964,0.00011851692802899842,5.095504544391279,0.03508771929824561,0.912471122082723
HK_SQ_A13_24,10875,0.0015502506733987423,5.839833270165815,0.09558823529411764,0.8776929563815346
HK_SQ_A1_12,10918,0.0009161727728673145,8.771873779179362,0.07783882783882784,0.88488146843171
HK_SQ_A25_36,10878,0.0009657731655738696,5.724229991433504,0.08363970588235294,0.8820064934317973
HK_SQ_A37_48,10597,0.001424404754135657,6.533745817680189,0.06509433962264151,0.8640742627246771
HK_SQ_R,7356,1.4886377393707154e-07,7.65378567093982,0.057065217391304345,0.9059758679614298
HK_SQ_S,7121,0.002535730318985404,5.824631417671848,0.046348314606741575,0.8771699480123385
HK_UG2_2F,10668,0.013517920186105802,5.241385997042211,0.03467666354264293,0.631335010941978
HK_UG2_RF,11811,0.007375473511213345,5.369220980595252,0.016088060965283656,0.8794800665084433
HK_UG3,11523,0.0018690029778414877,6.810422715213043,0.045099739809193407,0.8880847986340626
HK_UG4,12175,0.00044595503853419433,5.280061380906288,0.019704433497536946,0.9288911257899869
HK_UG6,13376,0.0004123910016354295,4.39665730275982,0.020179372197309416,0.9168438270734915
HK_UG7,13172,0.015759573364734013,8.091971269750763,0.0204855842185129,0.8155970839372907
HK_WongCS,6399,0.00026766648203384004,4.617845474886707,0.03125,0.9396302280693549
HK_Zone_A1,11902,0.00537785876989111,7.346573692897979,0.03442485306465155,0.8666239089518976
HK_Zone_A2,12102,0.0003080198792645656,6.5100278095891015,0.028901734104046242,0.8965820726784581
HK_Zone_A4,11646,0.00803502138531904,9.944966584811752,0.05150214592274678,0.8041227719206652
HK_Zone_A5,7222,0.0012721572027405343,6.981207081978104,0.0636237897648686,0.8727653023302772
HK_Zone_A6,7491,0.0010289627436046677,4.022811538281049,0.03337783711615487,0.9415206761812424
HK_Zone_A7,7328,0.0005807791987481376,5.788444511434274,0.0504774897680764,0.9199128111082125
HK_Zone_D,4654,0.00023249865319423179,4.912815857434361,0.015021459227467811,0.9457579216359918
HK_Zone_J1,3365,0.0008561774306182078,6.367525233308861,0.05637982195845697,0.9170584935040769
HK_Zone_J2,6360,0.008405764654703118,5.931218792940962,0.018867924528301886,0.8587729540500795
