timestamp,Active_Power,GHI,DHI,Temperature,Humidity,Wind_Speed,WD_sin,WD_cos,has_wind,delta_t,Air_Pressure
2016-04-02 08:00:00,64.48305892944366,204.38742574055667,0.0,20.25333277384433,0.0,1.13555556535722,0.08676936704288958,-0.996228426086596,1,15.0,960.07110595703
2016-04-02 08:15:00,88.61187489827466,267.44789632161667,0.0,22.257778167724666,0.0,2.1333333651225,0.12090685698607041,-0.9926638564658985,1,15.0,960.2377726236967
2016-04-02 08:30:00,111.01771036784,330.88800048828,0.0,23.285555521646998,0.0,2.9233333269755,0.38715806638600686,-0.9220133576213787,1,15.0,960.4155476888
2016-04-02 08:45:00,130.75814565023,389.75303141276,0.0,23.827777862549,0.0,3.0444444815317664,0.44550348725907796,-0.8952802035340671,1,15.0,960.7244466145834
2016-04-02 09:00:00,148.02411905924333,442.6965128580734,0.0,24.643334070841334,0.0,2.8877778848012667,0.48175364298508133,-0.8763066971503771,1,15.0,960.8044230143233
2016-04-02 09:15:00,164.56074523925668,495.8243916829433,0.0,25.433333714803,0.0,2.9299999872843667,0.34966235496610154,-0.9368757855337921,1,15.0,960.93778483073
2016-04-02 09:30:00,179.25544738769668,548.4358317057266,0.0,26.107777913411336,0.0,2.9399999777476,0.3889452469879621,-0.9212608723078785,1,15.0,960.9955444335966
2016-04-02 09:45:00,195.11133321126331,601.54083251953,0.0,26.923333485921333,0.0,2.7266666094462333,0.37442674339261445,-0.9272564984039752,1,15.0,961.0
2016-04-02 10:00:00,208.50840250651,652.4399820963533,0.0,27.58888880411767,0.0,2.861111164093033,0.3605395672124469,-0.9327439200950395,1,15.0,961.0
2016-04-02 10:15:00,220.11468505859332,699.0639851888033,0.0,28.48555501302067,0.0,2.4255555470784667,0.45864960181491354,-0.8886172082258037,1,15.0,960.9289143880233
2016-04-02 10:30:00,229.7090555826867,740.9535929361967,0.0,29.445556004842,0.0,2.466666698455833,0.2554458094318995,-0.966823374998599,1,15.0,960.8600056966167
2016-04-02 10:45:00,235.45613098144335,775.6295369466134,0.0,30.105555852254337,0.0,1.7133333285649666,0.8451581659083928,-0.5345162996563918,1,15.0,960.8177693684901
2016-04-02 11:00:00,242.92820739746,807.9065144856767,0.0,30.909999847412,0.0,2.271111090978,0.4448088138446067,-0.8956255462670513,1,15.0,960.6900024414067
2016-04-02 11:15:00,250.63496907552,839.6012166341134,0.0,31.505556106567337,0.0,2.3744444052378335,0.5193533350332207,-0.8545596020113935,1,15.0,960.5099894205733
2016-04-02 11:30:00,254.98445638020667,866.7537638346366,0.0,32.248889923095994,0.0,2.0999999841054335,0.45796009345476923,-0.8889727514400534,1,15.0,960.2977701822933
2016-04-02 11:45:00,254.29095967610667,863.5447591145834,0.0,32.815555572509666,0.0,1.9533332983652667,0.6430846678613417,-0.7657950835319249,1,15.0,960.1622314453134
2016-04-02 12:00:00,259.67505900065,885.88055419922,0.0,33.174444834391664,0.0,1.7966666221618999,0.010859536066425429,-0.9999410334996869,1,15.0,959.9900105794267
2016-04-02 12:15:00,262.28328450521,904.4635213216134,0.0,33.65555572509766,0.0,1.9866665999094666,0.6525393783078778,-0.7577548150672276,1,15.0,959.7777709960966
2016-04-02 12:30:00,263.76782226562335,918.0647176106767,0.0,34.112222035726,0.0,2.3700000047683667,0.7563611583062801,-0.6541542617804934,1,15.0,959.5544433593733
2016-04-02 12:45:00,264.53342692057333,923.3061930338532,0.0,34.114444732665994,0.0,2.1988889773686666,0.7479268443543005,-0.6637811653656784,1,15.0,959.2844645182334
2016-04-02 13:00:00,265.30742390950667,927.41961669922,0.0,34.514444986979,0.0,2.3244444131851334,0.5441510315617806,-0.8389872793137272,1,15.0,959.0155639648433
2016-04-02 13:15:00,266.28405761719,920.6832071940099,0.0,34.99888865153,0.0,2.064444422721867,0.5464268398404143,-0.8375068409881905,1,15.0,958.8466796875
2016-04-02 13:30:00,262.54744466145667,910.19551595052,0.0,35.02777862548833,0.0,2.707777818044033,0.46981397430021804,-0.8827654442445253,1,15.0,958.6410929362
2016-04-02 13:45:00,256.5824432373033,895.1117146809901,0.0,35.06222279866534,0.0,1.5988889137903666,0.1562428832536573,-0.9877186651231129,1,15.0,958.4155680338566
2016-04-02 14:00:00,253.77876281738335,877.0075887044267,0.0,34.981109619140334,0.0,1.9277778069178335,0.29922586072638907,-0.954182311863174,1,15.0,958.1444295247401
2016-04-02 14:15:00,245.89070129394668,853.81805419922,0.0,35.648888905843336,0.0,2.9088888963063333,-0.7038080975091436,-0.7103901476516689,1,15.0,957.8944498697933
