model,seed,norm_MSE,norm_MAE,raw_MSE,raw_MAE,val_loss,best_epoch,time_s,n_params,test_p99win,test_nbad
FC,42,0.23470242,0.3713083,30.504646,4.2331038,0.186422714011633,12,39.643394947052,76912,1.2601219308376317,1702
KANConv_M5,42,0.21773018,0.3483771,28.298754,3.9716785,0.2337953034046781,24,74.88135814666748,76907,1.397037777900701,1326
Shared,42,0.28318813,0.40414244,36.806404,4.6074295,0.3225311979009608,21,68.00835108757019,76870,1.8095999217033505,2255
Kernel,42,0.28291535,0.43318444,36.770985,4.938524,0.4131985031267817,3,30.094001531600952,81946,1.3515372371673655,1360
LinearCalib,42,0.27849612,0.403468,36.196613,4.5997443,0.2060477687815709,7,30.618983268737797,76871,1.4121055603027346,2244
FC,123,0.25973933935165405,0.3938773572444916,33.75873947143555,4.490401268005371,0.1742436384155531,11,38.290066719055176,76912,1.362035357952123,2002
FC,456,0.2794281840324402,0.40266546607017517,36.3177490234375,4.590594291687012,0.15743529043736085,18,47.39217734336853,76912,1.6051411724090594,1900
FC,789,0.35628005862236023,0.4727044999599457,46.30630874633789,5.389070987701416,0.1836182164923831,6,27.95755434036255,76912,1.5815117394924185,3167
FC,2026,0.22556230425834656,0.3571110665798187,29.316699981689453,4.071249961853027,0.16320242541077806,12,37.721909284591675,76912,1.2099405121803286,1592
FC,11,0.22809816896915436,0.3677719235420227,29.646299362182617,4.192786693572998,0.1598584726192621,10,34.19347310066223,76912,1.4451282954216063,1288
FC,22,0.23740535974502563,0.36240503191947937,30.855960845947266,4.131601810455322,0.19079457579030978,13,39.07374906539917,76912,1.3297499799728398,1804
FC,33,0.20556113123893738,0.345730185508728,26.717111587524414,3.9415013790130615,0.1622642568367879,13,39.36249256134033,76912,1.4237851917743733,852
FC,44,0.27486735582351685,0.4055141806602478,35.724971771240234,4.623070240020752,0.17818603630809762,10,34.49568462371826,76912,1.3894866836071027,2117
FC,55,0.18249398469924927,0.3258258104324341,23.719036102294922,3.714580774307251,0.16944092904175256,9,32.828404903411865,76912,1.1523126661777496,733
KANConv_M5,123,0.21725913882255554,0.3500746190547943,28.23752784729004,3.9910295009613037,0.29140202824256195,11,47.123401403427124,76907,1.2580298292636873,1569
KANConv_M5,456,0.21892593801021576,0.3672073781490326,28.454164505004883,4.186349868774414,0.30819531619479407,7,38.41526794433594,76907,1.0171288847923285,1396
KANConv_M5,789,0.2349441945552826,0.3753282129764557,30.536090850830078,4.278931617736816,0.24125391321215559,14,53.56191682815552,76907,1.4460256624221832,1401
KANConv_M5,2026,0.23249734938144684,0.37600740790367126,30.218053817749023,4.286675930023193,0.2928671012518708,8,40.60320687294006,76907,1.1829167485237126,1392
KANConv_M5,11,0.2247454673051834,0.3647967278957367,29.210540771484375,4.1588664054870605,0.2926424844439843,10,44.86835551261902,76907,1.3703462088108065,1434
KANConv_M5,22,0.21433725953102112,0.33353397250175476,27.85776138305664,3.8024580478668213,0.3141094090913588,17,60.08485436439514,76907,1.7824580526352038,1392
KANConv_M5,33,0.22998251020908356,0.35972902178764343,29.89121437072754,4.101097583770752,0.25294301867901375,16,58.13589382171631,76907,1.6518441665172576,1576
KANConv_M5,44,0.22929036617279053,0.3501703441143036,29.80126190185547,3.9921185970306396,0.24925819597921495,29,85.96777987480164,76907,1.7647605204582237,1494
KANConv_M5,55,0.20056919753551483,0.3511298894882202,26.068307876586914,4.0030598640441895,0.2903532261620856,8,40.81040000915527,76907,1.1208693695068388,1075
Shared,123,0.30125856399536133,0.4540725350379944,39.155067443847656,5.176660537719727,0.44034767705986194,4,32.04690742492676,76870,1.4823965561389925,1788
Shared,456,0.319516658782959,0.45803627371788025,41.52809524536133,5.2218451499938965,0.4631808331459587,0,23.333106994628906,76870,1.5235377812385562,2157
Shared,789,0.30985626578330994,0.4441586434841156,40.272525787353516,5.063632011413574,0.43591195462885224,0,23.42517399787903,76870,1.6255688810348512,2135
Shared,2026,0.2828868329524994,0.4321564733982086,36.767250061035156,4.926805019378662,0.4334256754487718,2,27.736793756484985,76870,1.480500724315644,1255
Shared,11,0.22077156603336334,0.3523474633693695,28.69404411315918,4.016940116882324,0.3770016796791512,11,46.93483829498291,76870,1.3663905560970315,1429
Shared,22,0.2459506094455719,0.37811577320098877,31.966604232788086,4.310712814331055,0.45851351412683206,9,42.38376760482788,76870,1.3973201203346264,1794
Shared,33,0.2826373279094696,0.4118155241012573,36.7348518371582,4.694905757904053,0.3428741841987903,23,72.46786713600159,76870,1.8291550827026388,2101
Shared,44,0.31493890285491943,0.4505908191204071,40.93314743041992,5.136964321136475,0.4389338027057048,0,23.446295738220215,76870,1.551613590717316,2082
Shared,55,0.26424646377563477,0.3799408972263336,34.34455108642578,4.331522464752197,0.3746918149821556,18,61.667009592056274,76870,1.7101839303970343,1715
Kernel,123,0.21917301416397095,0.3542903959751129,28.486257553100586,4.039090633392334,0.25707988827830835,10,44.89086437225342,81946,1.554754689931871,1281
Kernel,456,0.3166291415691376,0.46562156081199646,41.15281295776367,5.308324337005615,0.4131161120218226,1,25.677467823028564,81946,1.6324121928215063,1736
Kernel,789,0.20598892867565155,0.34803351759910583,26.77272605895996,3.967759847640991,0.341834186258638,6,36.53333020210266,81946,1.1982481622695926,1103
Kernel,2026,0.36802178621292114,0.4458964169025421,47.83241271972656,5.0834455490112305,0.2974967479150703,46,107.06090593338013,81946,1.6809932839870465,3733
Kernel,11,0.26998063921928406,0.39283183217048645,35.08981704711914,4.478484630584717,0.34537190497268483,20,67.44724321365356,81946,1.4899739050865175,2124
Kernel,22,0.25173479318618774,0.3755374252796173,32.71837615966797,4.281318664550781,0.2513457520044169,24,75.157723903656,81946,1.487470442056656,1885
Kernel,33,0.2619190812110901,0.38961973786354065,34.04205322265625,4.441863059997559,0.2636533313635758,16,57.97073554992676,81946,1.5279281818866743,1824
Kernel,44,0.3177923858165741,0.46162348985671997,41.30400466918945,5.262742519378662,0.42040412778488,1,25.652045726776123,81946,1.7852813243866017,1840
Kernel,55,0.31181827187538147,0.46052905917167664,40.527530670166016,5.250263690948486,0.4125063542853412,2,27.84066605567932,81946,1.667017271518714,1798
LinearCalib,123,0.33157986402511597,0.4451252818107605,43.095970153808594,5.074656963348389,0.167766571738806,10,35.46320390701294,76871,1.582336802482605,2971
LinearCalib,456,0.28485357761383057,0.4043637216091156,37.022884368896484,4.609952449798584,0.1706885186146524,12,39.07752990722656,76871,1.5350003421306655,2380
LinearCalib,789,0.23193542659282684,0.3667686879634857,30.145038604736328,4.181349277496338,0.14442134902696532,17,47.46774744987488,76871,1.4670323324203518,1482
LinearCalib,2026,0.2718575596809387,0.43023768067359924,35.33376693725586,4.9049296379089355,0.23752789662519905,1,20.50387167930603,76871,1.0306077432632457,1160
LinearCalib,11,0.25537195801734924,0.3931780755519867,33.19111633300781,4.482430458068848,0.16474571383457384,14,42.52089476585388,76871,1.1766260278224947,1864
LinearCalib,22,0.17509473860263824,0.3126709461212158,22.757349014282227,3.564608573913574,0.15147372795761116,13,41.01666879653931,76871,1.1600598144531253,691
LinearCalib,33,0.21651829779148102,0.3533962666988373,28.1412296295166,4.028896808624268,0.11486525694829898,14,42.68495845794678,76871,1.2377073299884813,1317
LinearCalib,44,0.3225427269935608,0.47478294372558594,41.92142105102539,5.412765979766846,0.2707832481308783,2,21.990293264389038,76871,1.2920898711681368,1968
LinearCalib,55,0.2204497903585434,0.349385142326355,28.652212142944336,3.983168601989746,0.14848367361583864,14,42.51904034614563,76871,1.370528258085251,1445
