site,group,space,trial,objective,test_mse_median,hash,learning_rate,hidden_dim,num_layers,out_channels,dropout,use_mixup,use_mixup_phys,use_mixup_temporal,use_jitter,sigma_mixup,sigma_phys,sigma_temporal,sigma_jitter,augmentation_factor
213,c_tpe_aug,small,1,0.16701990365982056,0.18851903080940247,52258d98d8bf0445,3.472465633879338e-05,224,3,240,0.7281224606241253,True,False,False,True,0.145024,0.449406,0.111377,0.208159,2.9904
213,c_tpe_aug,small,2,0.06644665449857712,0.10482443124055862,c486599c5e6a6a97,0.02865229984483499,192,1,208,0.05097645465385164,True,False,False,True,0.222992,0.444091,0.134973,0.227223,2.4254
213,c_tpe_aug,small,3,0.45488497614860535,0.4612005949020386,518521192b4f6e4d,3.05949923181556e-05,96,1,112,0.23375803542080656,False,True,False,True,0.044367,0.259116,0.172607,0.115104,1.642
213,c_tpe_aug,small,4,0.583427906036377,0.5333292484283447,4c28abdfd9f5cc8e,0.08657857230264558,112,3,64,0.280244785782282,True,False,False,False,0.01,0.01,0.01,0.01,1.5
213,c_tpe_aug,small,5,0.5790677070617676,0.5330929160118103,3642070683971e1d,0.4453558968356728,144,1,224,0.6657736034903695,True,True,False,False,0.031566,0.449442,0.28315,0.021565,2.359
213,c_tpe_aug,small,6,0.06504274159669876,0.09441007673740387,008ea175af58789c,0.005971587023276848,192,2,208,0.019262863315437584,True,False,True,True,0.302214,0.029992,0.495448,0.433498,2.2491
213,c_tpe_aug,small,7,0.06729475408792496,0.09725813567638397,c2c57332328b6bf4,0.0010069642141655065,192,2,208,0.00787023778946544,True,False,True,True,0.420533,0.021034,0.473956,0.472052,1.8041
213,c_tpe_aug,small,8,0.07040203362703323,0.09911948442459106,f115dfb8108f26b7,0.0018952262841057325,160,2,80,0.5006642891339959,True,False,True,True,0.315635,0.02217,0.479711,0.466718,2.0353
213,c_tpe_aug,small,9,0.05119158700108528,0.08389981091022491,417a2d4e7bf2acc4,0.010100811657035198,80,2,96,0.4428979990291494,False,True,True,False,0.499198,0.171934,0.344096,0.336358,2.5673
213,c_tpe_aug,small,10,0.0820334330201149,0.11701446771621704,934f990d8f39ea7e,0.000177271384879018,80,2,96,0.5022538976423984,False,True,True,False,0.489532,0.182385,0.333017,0.343663,2.6633
