timestamp,Active_Power,GHI,DHI,Temperature,Humidity,Wind_Speed,WD_sin,WD_cos,has_wind,delta_t
2016-01-01 00:00:00,0.0001777777846048,0.0,1.2741189400355,17.131518681844,87.77685801188166,2.5943294722786,-0.15692939392685692,-0.9876098244356165,1,15.0
2016-01-01 00:15:00,2.2222227319899996e-05,0.0,1.6509170929591,16.854508717855,91.20550791422534,3.4456252359721335,-0.25269883764577555,-0.9675449847177515,1,15.0
2016-01-01 00:30:00,4.850666670992247e-12,0.0,1.2339662710825332,16.708034515381,92.45259348551433,3.5560768813515,-0.23320340375157572,-0.9724279780419111,1,15.0
2016-01-01 02:30:00,0.0,0.0,0.72665478785833,16.278258641561,99.49187978108733,2.0258389449536,-0.36760972234362166,-0.9299801567982219,1,120.0
2016-01-01 04:30:00,0.0001555555548596,0.0,0.8451025088628134,16.402462005615334,99.69325002034533,2.3784256465167997,-0.4057641374857527,-0.913977825075884,1,120.0
2016-01-01 06:30:00,0.0,14.021977742513002,12.3449703852338,16.515587488810336,100.0,3.1744144368355998,-0.3850681242465267,-0.9228881512346236,1,120.0
2016-01-01 08:30:00,0.0,134.06264750162666,130.29973093668667,17.945351282755333,86.850003560384,3.4914446434625,-0.33129476975758976,-0.9435273051328539,1,120.0
2016-01-01 10:30:00,0.00015555555971023333,232.27199300130334,223.61156209310002,19.879984537760333,75.160006205241,3.9675065274041668,-0.2854818223717934,-0.9583841239791484,1,120.0
2016-01-01 10:45:00,0.00013333333724093333,338.40854390462334,318.74889119466,20.200127283732332,74.19381205240866,4.669626404211701,-0.2578332464278392,-0.9661894312382439,1,15.0
2016-01-01 11:00:00,0.0021777778165415,821.66033935547,580.7339070638,21.358036041259666,70.61928304036466,5.332278172950733,-0.16397049876680123,-0.9864652429427843,1,15.0
2016-01-01 11:15:00,0.0015777778656532336,578.54674275716,412.4356791178366,22.333112080891997,67.96444956461566,4.956172386927267,-0.3169680663094085,-0.9484362102640717,1,15.0
2016-01-01 11:30:00,0.0001555555572849,381.97587076823,348.3012390136733,21.64790598551433,68.90423838297534,5.606232642308534,-0.21383508702894571,-0.9768697741026299,1,15.0
