,Active_Power,GHI,DHI,Temperature,Humidity,Wind_Speed,WD_sin,WD_cos,has_wind,delta_t
2016-01-01 00:00:00,0.0,0.0,1.2741189400355,17.131518681844,87.77685801188166,2.5943294722786,-0.15692939392685692,-0.9876098244356165,0,15.0
2016-01-01 00:15:00,0.0,0.0,1.6509170929591,16.854508717855,91.20550791422534,3.4456252359721335,-0.25269883764577555,-0.9675449847177515,0,15.0
2016-01-01 00:30:00,0.0,0.0,1.2339662710825332,16.708034515381,92.45259348551433,3.5560768813515,-0.23320340375157572,-0.9724279780419111,0,15.0
2016-01-01 02:30:00,0.0,0.0,0.72665478785833,16.278258641561,99.49187978108733,2.0258389449536,-0.36760972234362166,-0.9299801567982219,0,120.0
2016-01-01 04:30:00,0.0,0.0,0.8451025088628134,16.402462005615334,99.69325002034533,2.3784256465167997,-0.4057641374857527,-0.913977825075884,0,120.0
2016-01-01 05:45:00,0.0,0.0,1.1117291251818167,16.52735773722333,99.66057840983068,2.626247387725833,-0.37465334388303445,-0.9271649647809502,0,75.0
2016-01-01 06:00:00,0.0,0.0,2.6490669250488335,16.537316004435336,99.791903177897,2.6547358699270998,-0.4505455554500908,-0.8927534387859669,0,15.0
2016-01-01 06:15:00,0.010166666404984266,9.609036127726034,7.956124941508034,16.493075052896998,100.0,3.2573522029628665,-0.4541926586119316,-0.8909034902070063,0,15.0
2016-01-01 06:30:00,0.03296666312962767,14.021977742513002,12.3449703852338,16.515587488810336,100.0,3.1744144368355998,-0.3850681242465267,-0.9228881512346236,0,15.0
2016-01-01 06:45:00,0.09701110670963832,27.077514648437333,25.446932474772336,16.531933466593333,100.0,3.3942927917938666,-0.4755493051493775,-0.8796890691442882,0,15.0
2016-01-01 07:00:00,0.1848333229621267,43.97056070963533,42.296384175618336,16.671334584554,100.0,2.9209700746078333,-0.5090613738591468,-0.8607302234989996,0,15.0
