timestamp,Active_Power,GHI,DHI,Temperature,Humidity,Wind_Speed,WD_sin,WD_cos,has_wind,delta_t
2016-07-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 08:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,60.0
2016-07-02 09:45:00,1.1111111234633332e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 10:00:00,0.008822222861150801,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 10:15:00,1.28875553607941,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 10:30:00,1.7536888519922667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 10:45:00,1.9002777338027668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 11:00:00,2.8863000869751,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 11:15:00,3.0309333006540666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 11:30:00,1.9855999151865669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 11:45:00,4.879033406575533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 12:00:00,4.742810885111466,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 12:15:00,4.8892332712809,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 12:30:00,3.8478221893310334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 12:45:00,3.8559777736663663,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 13:00:00,1.8718445301055666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 13:15:00,3.3697222868601333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 13:30:00,2.627544403076167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 13:45:00,3.6917332013447997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 14:00:00,1.1316777467727566,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 14:15:00,1.03555550177891,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 14:30:00,1.3989444573720335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 14:45:00,1.0329333146413135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
2016-07-02 15:00:00,0.7885444561640399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,15.0
