Time,Active_Power,GHI,Temperature,Humidity,Wind_Speed,WD_sin,WD_cos,delta_t
2021-07-01 00:00:00,0.0,5.318773333333334,27.572466666666667,89.83713333333334,2.5132666666666665,-0.2556819898275736,-0.9667609425694713,15.0
2021-07-01 00:15:00,0.0,5.215973333333333,27.571066666666663,89.63680000000001,2.2933666666666666,-0.22441816713883167,-0.9744929380236921,15.0
2021-07-01 00:30:00,0.0,5.28198,27.56726666666667,90.34073333333335,2.7264600000000003,-0.23095551342084583,-0.9729643111751394,15.0
2021-07-01 02:30:00,0.0,5.487533333333333,27.5486,90.3958,3.0934266666666668,-0.22976664120014473,-0.9732457503588721,120.0
2021-07-01 04:30:00,0.0,5.443513333333333,27.44793333333333,90.7064,2.5152133333333335,-0.37353830598865717,-0.9276147551430628,120.0
2021-07-01 05:45:00,0.0,8.279233333333334,27.3802,91.5248,3.19536,-0.2533977775198914,-0.9673621691734589,75.0
2021-07-01 06:00:00,0.0,9.969013333333333,27.471799999999998,90.77693333333333,3.23964,-0.2896443782157098,-0.9571343344421591,15.0
2021-07-01 06:15:00,149.0,17.682613333333332,27.465333333333334,90.9542,3.0523266666666666,-0.21125655943839158,-0.9774306451581377,15.0
2021-07-01 06:30:00,1391.0,58.910133333333334,27.592266666666667,90.56013333333334,2.5003,-0.32871280592357227,-0.9444299292281306,15.0
2021-07-01 06:45:00,2301.6667,106.98246666666667,27.8098,89.35526666666667,3.44632,-0.1686270080900333,-0.9856799339251072,15.0
2021-07-01 07:00:00,1669.3334,76.6126,27.9222,88.8034,3.12782,-0.25075172759528047,-0.9680514299911871,15.0
2021-07-01 07:15:00,1611.0,64.27906666666667,27.863466666666667,89.1392,2.7245133333333333,-0.27723639817104534,-0.9608017378882834,15.0
2021-07-01 07:30:00,3085.6667,115.26666666666667,27.8662,88.87519999999999,3.2717,-0.20064478223283708,-0.9796640604629412,15.0
2021-07-01 07:45:00,9386.0,267.71066666666667,28.183133333333334,87.82113333333334,3.7970400000000004,-0.14981145047917346,-0.9887145843494604,15.0
2021-07-01 08:00:00,5574.0,251.41400000000002,28.883733333333332,84.4226,2.738426666666667,-0.20151102074902502,-0.9794862472320303,15.0
2021-07-01 08:15:00,8394.333,397.86733333333336,29.333466666666666,81.7852,2.168266666666667,-0.3522554927952429,-0.9359038774337782,15.0
2021-07-01 08:30:00,2473.6667,159.4505333333333,29.2192,82.69786666666667,2.2923533333333332,-0.1752750836151085,-0.9845194995853138,15.0
2021-07-01 08:45:00,2134.3333,189.0539333333333,28.722133333333332,85.5322,2.67088,-0.2957636253858901,-0.9552611569087246,15.0
2021-07-01 09:00:00,3426.0,200.468,28.672933333333333,85.17546666666667,2.46694,-0.4796824850337247,-0.8774421425666028,15.0
2021-07-01 09:15:00,2931.0,205.76266666666666,29.0892,83.0166,1.561464,-0.2794246103399984,-0.9601676349139978,15.0
2021-07-01 09:30:00,3703.3333,170.574,29.163466666666668,82.52386666666666,1.6442993333333333,-0.1673584077164902,-0.9858961219959236,15.0
2021-07-01 09:45:00,3273.0,121.14666666666668,29.00313333333333,82.35026666666666,2.0631,-0.4461145069037874,-0.8949758917032294,15.0
2021-07-01 10:00:00,5484.0,193.58266666666665,28.965,81.98053333333334,1.8434733333333333,-0.354556732638748,-0.9350345038235409,15.0
2021-07-01 10:15:00,14142.0,343.4493333333333,29.530266666666666,79.6034,1.98662,-0.6118740589940548,-0.7909552047557055,15.0
2021-07-01 10:30:00,14132.333,289.6046666666667,29.639400000000002,79.06453333333334,1.8936653333333333,-0.7761858147795601,-0.6305042275314183,15.0
2021-07-01 10:45:00,10179.667,371.86133333333333,30.00453333333333,77.41326666666667,2.4012266666666666,-0.6492285977101093,-0.7605933393840397,15.0
2021-07-01 11:00:00,3703.0,126.4956,29.6454,79.67173333333334,1.5213626666666664,-0.13640029571506135,-0.990653803974347,15.0
2021-07-01 11:15:00,4785.0,231.392,29.26966666666667,82.68966666666667,1.4882926666666667,-0.18036349950830532,-0.9836000244230972,15.0
2021-07-01 11:30:00,5167.6665,158.11033333333336,29.333466666666666,80.91453333333334,1.6918333333333335,-0.630422038875537,-0.7762525703017098,15.0
2021-07-01 11:45:00,9798.0,382.07,29.611666666666668,79.45573333333333,1.9209766666666668,-0.37962290792238285,-0.9251413123304753,15.0
2021-07-01 12:00:00,13088.667,532.1986666666667,30.1298,77.85586666666667,2.2825533333333334,-0.5507041399774023,-0.8347005152818283,15.0
2021-07-01 12:15:00,6165.0,325.528,30.38273333333333,76.06646666666667,2.485133333333333,-0.5530910774103107,-0.8331207956167591,15.0
2021-07-01 12:30:00,5959.6665,340.762,29.990066666666667,76.9104,2.6451533333333335,-0.6565418740752237,-0.7542895780705134,15.0
